Date,AAPL,AMZN,FB,GOOG,MSFT,YHOO
12/31/15,104.691918,675.890015,104.660004,758.880005,55.084498,33.259998
12/30/15,106.740798,689.070007,106.220001,771,55.908583,33.369999
12/29/15,108.153132,693.969971,107.260002,776.599976,56.14687,34.040001
12/28/15,106.243496,675.200012,105.93,762.51001,55.551149,33.599998
12/24/15,107.446965,662.789978,105.019997,748.400024,55.273143,34.110001
12/23/15,108.023837,663.700012,104.629997,750.309998,55.422075,34.450001
12/22/15,106.651287,663.150024,105.510002,750,54.955424,34.189999
12/21/15,106.750746,664.51001,104.769997,747.77002,54.439134,32.970001
12/18/15,105.457759,664.140015,104.040001,739.309998,53.744124,32.950001
12/17/15,108.391842,670.650024,106.220001,749.429993,55.302931,33.23
12/16/15,110.739099,675.77002,106.790001,758.090027,55.729866,33.779999
12/15/15,109.893688,658.640015,104.550003,743.400024,54.806496,33.029999
12/14/15,111.872953,657.909973,104.660004,747.77002,54.746922,32.59
12/11/15,112.569172,640.150024,102.120003,738.869995,53.674623,32.91
12/10/15,115.543033,662.320007,105.419998,749.460022,54.875996,34.630001
12/9/15,114.996006,664.789978,104.599998,751.609985,54.588063,34.400002
12/8/15,117.591921,677.330017,106.489998,762.369995,55.39229,34.849998
12/7/15,117.641646,669.830017,105.610001,763.25,55.412148,34.68
12/4/15,118.387598,672.640015,106.18,766.809998,55.511433,34.91
12/3/15,114.578267,666.25,104.379997,752.539978,53.813624,34.34
12/2/15,115.65244,676.01001,106.07,762.380005,54.816423,35.650002
12/1/15,116.706717,679.059998,107.120003,767.039978,54.826354,33.709999
11/30/15,117.661542,664.799988,104.239998,742.599976,53.962553,33.810001
11/27/15,117.174181,673.26001,105.449997,750.26001,53.545549,32.939999
11/25/15,117.392995,675.340027,105.410004,748.150024,53.307258,33.16
11/24/15,118.238406,671.150024,105.739998,748.280029,53.863267,32.959999
11/23/15,117.114508,678.98999,106.949997,755.97998,53.803694,33.360001
11/20/15,118.656145,668.450012,107.32,756.599976,53.803694,33.110001
11/19/15,118.138948,661.27002,106.260002,738.409973,53.555476,32.630001
11/18/15,116.656991,663.539978,107.769997,740,53.466117,32.98
11/17/15,113.076422,643.299988,105.129997,725.299988,52.592393,32.860001
11/16/15,113.563775,647.809998,104.040001,728.960022,53.029255,32.950001
11/13/15,111.733702,642.349976,103.949997,717,52.112067,32.189999
11/12/15,115.095465,665.599976,108.019997,731.22998,52.585454,33.23
11/11/15,115.483359,673.25,109.010002,735.400024,52.910909,33.380001
11/10/15,116.139793,659.679993,107.910004,728.320007,52.772835,33.990002
11/9/15,119.919288,655.48999,106.489998,724.890015,53.413882,33.68
11/6/15,120.406641,659.369995,107.099998,733.76001,54.16341,34.200001
11/5/15,120.267398,655.650024,108.760002,731.25,53.630852,35.119999
11/4/15,120.824373,640.950012,103.940002,728.109985,53.650577,35.07
11/3/15,121.388881,625.309998,102.580002,722.159973,53.404021,34.720001
11/2/15,120.012276,628.349976,103.309998,721.109985,52.506558,35.27
10/30/15,118.348464,625.900024,101.970001,710.809998,51.914821,35.619999
10/29/15,119.368538,626.549988,104.879997,716.919983,52.624903,35.049999
10/28/15,118.120677,617.099976,104.199997,712.950012,53.236361,35.189999
10/27/15,113.446167,611.01001,103.699997,708.48999,52.950355,34.299999
10/26/15,114.169128,608.609985,103.769997,712.780029,53.502642,33.400002
10/23/15,117.932513,599.030029,102.190002,702,52.141652,33.169998
10/22/15,114.387009,563.909973,99.669998,651.789978,47.368329,31.67
10/21/15,112.663779,555.77002,97.110001,642.609985,46.549765,31.120001
