,,,,,,,,,,,,,,,,
,Date   Rec'd,,Company,,City  (County),,#  Affected,,Layoff  Date(s),,Phone  Number,,Union,,WARN  ID,
,,,,,,,,,,,,,,,,
,12/24/2014,,Maximus,,"Westerville/ 
Franklin",,70,,2/16/2015,,(585)  348‐ 3107,,N/A,,011‐ 14‐ 029,
,12/23/2014,,Aramark,,"Columbus/  
Franklin",,103,,2/26/2015,,(614)  827‐ 2700,,N/A,,011‐ 14‐ 028,
,12/8/2014,,"Schwebel   Baking  
Company",,"Cuyahoga   Falls/  
Summit",,119,,unknown,,"(330)  783‐ 2860 
ext  6015",,"Teamsters  Local   377, 
Teamsters  Local   336, 
Teamsters  Local   52",,003‐ 14‐ 027,
,12/5/2014,,Hugo  Boss,,"Brooklyn/  
Cuyahoga",,167,,4/20/2015,,(646)  784‐ 8832,,"Midwest   Regional   Joint  
Board,  Workers  Union,  
SEIU,  Local   10  and  
International
 
Association   of  
Machinists   and  
Aerospace  Workers",,003‐ 14‐ 026,
,12/2/2014,,Dow  Chemical,,Findlay/   Hancock,,54,,2/1/2015,,(419)  423‐ 6565,,unknown,,007 ‐ 14‐ 025,
,11/13/2014,,MAGY  Staffing   LLC,,Various/   Lucas,,228,,1/16/2015,,"(419)  382‐ 8603 
ext  337",,N/A,,009‐ 14‐ 024,
,11/7/2014,,"General  Motors  
Syncreon",,"Trotwood/  
Montgomery",,107,,1/5/2015,,(810)  606‐ 2078,,"United   Automobile   and  
Aerospace  and  
Agricultural   Implement 
Workers",,007‐ 14‐ 023,
,11/7/2014,,"Bottom  Dollar   Food
Imperial   Operating",,Various/   Various,,112,,"12/31/2014
12/1‐ 2014‐",,(704)  310‐ 3099,,N/A,,099‐ 14‐ 022,
,11/4/2014,,Company   LLC,,Warren/  Trumbull,,56,,12/31‐ 2014,,(330)  385‐ 7100,,UFCW  Local   880,,018‐ 14‐ 020,
,11/4/2014,,"Colonial   Manor  
Operating   Company  
INC  (Campus   Health  
Care  Center)",,"Youngstown/  
Mahoning",,100,,12/31/2014,,(330)  385‐ 7100,,N/A,,017‐ 14‐ 021,
