,,,,,,,,,,20,,,12 WARN Not ic,,e,s,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Date Rec 'd,,,C ompany,,,C i ty ( C ounty ),,,N umber  A ffec ted,,,Lay off Date(s ),,,Phone N umber,,,Uni on,,,WAR N  I D,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1 2 / 3 1 / 1 2,,,Inv acare,,,Elyria/ L o rain,,,1 4 3,,,1 2 / 2 7 / 2 0 1 2,,,4 4 0 -32 9 -67 3 5,,,N/ A,,,0 0 4 -12 -03 6,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1 2 / 2 0 / 1 2,,,Zho ngding Sealing P arts,,,Strasburg/ Tuscarawas,,,6 5,,,3 / 3 1 / 2 0 1 3,,,8 6 5 -80 6 -12 9 1,,,N/ A,,,0 0 6 -12 -03 5,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1 2 / 2 0 / 1 2,,,"USA
Ke nco  L o gistics",,,L o ckbo urne/ Franklin,,,7 0,,,2 / 1 8 / 2 0 1 3,,,6 1 4 -40 9 -87 5 4,,,N/ A,,,0 1 1 -12 -03 4,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1 2 / 1 7 / 1 2,,,"Natio nsHealth, Inc",,,Gahanna/ Franklin,,,6 1,,,2 / 1 5 / 2 0 1 2,,,9 5 4 -90 3 -51 7 2,,,N/ A,,,0 1 1 -12 -03 2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1 2 / 1 1 / 1 2,,,"M edical Cente r o f 
New ark",,,New ark/ L icking,,,1 6 0,,,1 / 2 9 / 2 0 1 3,,,7 4 0 -52 2 -78 7 8,,,N/ A,,,0 0 7 -12 -03 3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1 2 / 6 / 1 2,,,"Energizer  Ho ldings, Inc.",,,"(cid:160)W est lake 
(cid:160)( Cuy aho ga)",,,1 2 0,,,1 / 3 1 / 2 0 1 3,,,(3 1 4 )  9 8 5 -21 2 7,,,N/ A,,,0 0 3 -12 -03 1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1 2 / 5 / 1 2,,,"(cid:160)First  Transit, Inc.",,,"(cid:160)Newark
(cid:160)( L icking)",,,6 1,,,1 / 1 / 2 0 1 3,,,(5 1 3 )  3 6 2 -45 1 2,,,N/ A,,,0 0 7 -12 -03 0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1 1 / 2 1 / 1 2,,,"(cid:160)H.C. Starck, Inc.",,,"(cid:160)E uclid
(cid:160)( Cuy aho ga)",,,6 7,,,1 / 2 1 / 2 0 1 2,,,(6 1 7 )  6 3 0 -48 9 3,,,N/ A,,,0 0 3 -12 -02 8,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1 1 / 2 0 / 1 2,,,"(cid:160)T he  Anderso ns, Inc.",,,"(cid:160)No rthwo o d
(cid:160)  (Wo o d)",,,1 2 1,,,1 / 1 / 2 0 1 2,,,(4 1 9 )  8 9 1 -64 5 4,,,N/ A,,,0 0 7 -12 -02 7,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1 1 / 2 / 1 2,,,(cid:160)Sy ste m ax  M anufacturing,,,"(cid:160)Fletcher
(cid:160)( M iami)",,,8 6,,,1 2 / 3 1 / 2 0 1 2,,,(9 3 7 )  6 1 5 -16 4 9,,,N/ A,,,0 0 7 -12 -02 5,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1 1 / 1 / 1 2,,,"(cid:160)Ce nte r City  Inte rnatio nal 
Trucking",,,"Co lum bus ( Franklin)  and 
P ataskala (L icking)",,,1 1 4,,,1 2 / 3 1 / 2 0 1 2,,,(6 1 4 )  8 7 6 -35 0 0,,,"Inte rnatio nal 
Asso ciatio n o f 
M achinists  and 
Aero space 
Wo rkers",,,0 1 1 -12 -02 4,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1 1 / 1 / 1 2,,,"(cid:160)Rhino  - Sands Hill M ining 
L L C",,,"We llsto n ( Jackso n) 
Ham den (Vinto n)and 
Gallipo lis ( Gallia)",,,1 1 5,,,1 2 / 3 1 / 2 0 1 2,,,(7 4 0 )  3 8 4 -42 1 1,,,(cid:160)N/A,,,0 0 7 -12 -02 3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1 0 / 2 5 / 1 2,,,"(cid:160)E m erso n - Inter M et ro  
Industries,  Inc.",,,(cid:160)Fo sto ria ( Seneca),,,9 9,,,1 / 6 / 2 0 1 3,,,(4 1 9 )  4 3 5 -59 3 7,,,"United Stee l, 
Allied 
Industrial, 
Inte rnatio nal 
Unio n(cid:160)L o cal 
1 9 1 5",,,0 0 7 -12 -02 2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1 0 / 1 9 / 1 2,,,(cid:160)Rubberm aid,,,(cid:160)W o o ste r (W ayne),,,6 2,,,1 2 / 2 1 / 2 0 1 2,,,(3 3 0 )  7 3 4 -38 4 7,,,"Info rm atio n 
P ending",,,0 0 7 -12 -02 1,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,1 0 / 1 9 / 1 2,,,(cid:160)Ry der,,,(cid:160)Gro v epo rt  (Franklin),,,5 7,,,1 2 / 1 7 / 2 0 1 2,,,(3 1 7 )  3 3 4 -39 1 2,,,N/ A,,,0 1 1 -12 -02 0,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,1 0 / 1 2 / 1 2,,,(cid:160)E m bassy  Suites,,,(cid:160)Clev eland ( Cuy aho ga),,,1 0 8,,,1 2 / 1 0 / 2 0 1 2,,,(2 1 6 )  5 2 3 -13 6 4,,,N/ A,,,0 0 3 -12 -01 9,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,1 0 / 1 1 / 1 2,,,"(cid:160)VGS, Inc.",,,"(cid:160)Vario us L o catio ns 
(Franklin)",,,1 3 5,,,1 1 / 4 / 2 0 1 2,,,(2 1 6 )  8 8 1 -62 9 7,,,(cid:160)N/A,,,0 1 1 -12 -01 8,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,1 0 / 9 / 1 2,,,(cid:160)M o rto n Salt,,,(cid:160)P ainesv ille ( Ashtabula),,,4 4,,,1 0 / 1 5 / 2 0 1 2,,,(4 4 0 )  6 3 9 -42 4 2,,,"United 
Stee lwo rkers 
L o cal 1 -00 9 6 6",,,0 0 5 -12 -01 7,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,(cid:160)1 0 / 9 / 2 0 1 2,,,"(cid:160)M  &  M  Re staurant 
Supply",,,(cid:160)T o ledo  ( L ucas),,,1 0 5,,,1 2 / 9 / 2 0 1 2,,,(4 1 9 )  7 2 9 -97 3 1,,,"(cid:160)T eam ste rs 
L o cal 2 0",,,0 0 9 -12 -01 6,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,(cid:160)1 0 / 4 / 2 0 1 2,,,(cid:160)Skillso ft,,,"(cid:160)D ublin(cid:160)
(cid:160)( Franklin)",,,7 5,,,1 2 / 5 / 2 0 1 2,,,(6 0 3 )  3 2 4 -30 0 0,,,N/ A,,,0 1 1 -12 -01 5,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,(cid:160)1 0 / 3 / 2 0 1 2,,,"(cid:160)E xe l, Inc.",,,(cid:160)Gro v epo rt  (Franklin),,,1 0 2,,,"(cid:160)Be ginning 
1 / 2 0 1 3  t o  
6 / 2 0 1 3",,,(6 1 4 )  6 3 8 -92 1 6,,,N/ A,,,0 1 1 -12 -01 4,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,(cid:160)9 / 2 8 / 2 0 1 2,,,(cid:160)BAE Sy ste m s,,,"(cid:160)Fairfield ( 2 )  and(cid:160)(cid:160)  
Ham ilto n ( 1 )(Butler)",,,1 6 0,,,"(cid:160)Be ginning 
1 1 / 3 0 / 2 0 1 2  t o  
3 / 3 1 / 2 0 1 3",,,(5 1 3 )  5 5 0 -89 3 2,,,(cid:160)N/A,,,0 1 2 -12 -01 3,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,8 / 3 0 / 1 2,,,"(cid:160)Glo bal Co ntact  Serv ices 
(GCS)",,,(cid:160)L ancaste r (Fairfield),,,1 0 0,,,1 0 / 2 5 / 2 0 1 2,,,"(7 0 4 )  6 4 7 -96 2 1  
ex t  6 0 0 4",,,(cid:160)N/A,,,0 2 0 -12 -01 2,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,8 / 2 7 / 1 2,,,"(cid:160)Cincinnati Enquirer 
(Enquirer M edia)",,,"(cid:160)Cincinnati(cid:160)
(cid:160)( Ham ilto n)",,,2 1 7,,,1 0 / 8 / 2 0 1 2,,,(5 1 3 )  7 6 8 -82 1 3,,,"M NP P AU L o cal 
1 2 8 N",,,0 1 3 -12 -01 1,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,8 / 1 6 / 1 2,,,"(cid:160)Ball Co rpo ratio n - 
Co lum bus Be v erage  Can 
P lant",,,"(cid:160)Co lum bus
(cid:160)( Franklin)",,,1 1 0,,,1 2 / 3 1 / 2 0 1 2,,,(3 0 3 )  4 6 0 -43 3 3,,,"USW  L o cal 
2 1 7 3",,,0 0 6 -12 -01 0,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,8 / 1 6 / 1 2,,,"(cid:160)Sho wa  (Am erican Sho wa, 
Inc)  Blancheste r P lant",,,"(cid:160)Blancheste r
(cid:160)( Clinto n)",,,1 8 9,,,8 / 2 4 / 2 0 1 2,,,(6 1 4 )  5 7 9 -87 5 3,,,N/ A,,,0 0 7 -12 -00 9,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,7 / 3 0 / 1 2,,,"(cid:160)D ayt o n Fo o ds L im ited 
P artnership CUB FOOD  
(L o fino 's Fo o d Sto res)",,,"(cid:160)M iamisburg &  
D ayt o n(M o ntgo m ery  
and Gree ne)",,,1 3 0,,,9 / 3 0 / 2 0 1 2,,,(9 3 7 )  4 3 1 -16 6 2,,,UFCW  L o cal 7 5,,,0 0 7 -12 -00 7,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,7 / 2 7 / 1 2,,,"(cid:160)Go o drich Co rpo ratio n - 
L anding Ge ar Facility",,,(cid:160)Clev eland ( Cuy aho ga),,,2 3 8,,,"(cid:160)Be gininng 
9 / 1 8 / 2 0 1 2  t o  
2 / 1 5 / 2 0 1 3",,,(2 1 6 )  4 2 9 -43 3 4,,,"UAW(cid:160)  L o cal 
2 3 3 3",,,0 0 3 -12 -00 6,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,7 / 2 3 / 1 2,,,"(cid:160)O rm et  P rimary  
Alum inum  Co rpo ratio n",,,"(cid:160)Hannibal
(cid:160)  (M o nro e)",,,9 9 8,,,"(cid:160)Be ginning 
9 / 1 8 / 2 0 1 2  t o  
1 2 / 3 1 / 2 0 1 2",,,(7 4 0 )  4 8 3 -26 4 1,,,"USW  L o cal 
5 7 2 4",,,0 1 5 -12 -00 5,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,7 / 1 8 / 1 2,,,(cid:160)T eleT ech,,,"(cid:160)Am herst  T o wnship 
(L o rain)",,,2 4 7,,,9 / 1 5 / 2 0 1 2,,,(3 0 3 )  3 9 7 -91 2 2,,,N/ A,,,0 0 4 -12 -00 4,,
,,,,,,,,,,,,,,,,,,,,,,,,,
