,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,Dat e  R ec 'd,,C om pany,,C i t y   ( C ount y ),,#   A ffec t ed,,L ay off  Dat e( s ),,P hone  N um ber,,Uni on,,WA R N   I D,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,1 2 / 2 6 / 1 3,,"At o s  IT   So lut io ns  and 
Se rv ic e s,  Inc .",,"D ay t o n 
( M o nt go m e ry )",,2,,2 / 2 8 / 2 0 1 4,,4 0 7 -4 7 5 -5 7 2 9,,N/ A,,0 0 7 -1 3 -0 4 0,,,
,,,1 2 / 1 7 / 1 3,,"BE F  Fo o ds  ( Bo b  E v ans 
Farm s)",,Springfie ld  ( Clark ),,4 0,,2 / 1 4 / 2 0 1 3,,6 1 4 -4 9 2 -4 9 2 1,,N/ A,,0 0 7 -1 3 -0 3 9,,,
,,,1 2 / 1 2 / 1 3,,"Hunt ingt o n  ( Cam c o  
Financ ial  Co rpo rat io n)",,"Cam bridge  
( Gue rnse y )",,6 7,,2 / 2 8 / 2 0 1 4,,6 1 4 -3 3 1 -5 3 1 5,,N/ A,,0 0 7 -1 3 -0 3 8,,,
,,,1 2 / 1 1 / 1 3,,"First   M e d  Am e ric an 
Am bulanc e   and 
Am bule t t e",,Vario us  ( Vario us),,5 0 9,,1 2 / 6 / 2 0 1 3,,9 1 0 -5 5 0 -3 1 8 6,,N/ A,,0 9 9 -1 3 -0 3 7,,,
,,,1 2 / 9 / 1 3,,Nash  Finc h,,"Blue   Ash 
( Ham ilt o n)",,6 0,,2 / 1 0 / 2 0 1 4,,4 1 9 -9 9 8 -2 5 2 3,,"Int e rnat io nal 
Bro t he rho o d  o f 
T e am st e rs",,0 1 3 -1 3 -0 3 6,,,
,,,1 1 / 2 0 / 1 3,,"NCO   Financ ial  Sy st e m s 
He alt hc are   P ro gram",,"Co lum bus 
( Frank lin)",,8 5,,1 / 2 4 / 2 0 1 4,,6 1 4 -7 1 7 -4 3 6 8,,N/ A,,0 1 1 -1 3 -0 3 5,,,
,,,1 1 / 1 5 / 1 3,,Ce nv e o,,Sidne y   ( She lby ),,7 7,,1 / 1 4 / 2 0 1 4,,4 1 9 -3 5 1 -3 9 5 5,,N/ A,,0 0 7 -1 3 -0 3 4,,,
,,,1 1 / 8 / 1 3,,Jane sv ille   Ac o ust ic s,,No rw alk   ( Huro n),,3 0 0,,1 / 6 / 2 0 1 4,,4 1 9 -6 6 0 -2 3 2 6,,CM RJB,,0 0 7 -1 3 -0 3 3,,,
,,,1 1 / 4 / 1 3,,GE   O hio   L am p,,W arre n  ( T rum bull),,1 7 9,,1 / 2 4 / 2 0 1 4,,3 3 0 -3 0 6 -7 2 4 1,,IUE -CW A  L o c al  8 4 7 2 2,,0 1 8 -1 3 -0 3 2,,,
,,,1 1 / 5 / 1 3,,"Fabri-Fo rm ,  Inc .",,"By e sv ille  
( Gue rnse y )",,4 2,,1 2 / 3 1 / 2 0 1 3,,6 0 8 -7 4 2 -5 3 0 1,,U.A.W .  L o c al  2 0 2 4,,0 0 4 -1 3 -0 3 1,,,
,,,1 1 / 4 / 1 3,,"E m pire   D ie   Cast ing  Co , 
Inc .",,"M ac e do nia 
( Sum m it )",,2 1 1,,1 2 / 3 1 / 2 0 1 3,,3 3 0 -4 6 7 -0 7 5 0,,"Indust rial  M aint e nanc e  
and  Ve nding  M ac hine  
Se rv ic e   E m plo y e e s, 
L o c al  4 1 6",,0 0 2 -1 3 -0 3 0,,,
,,,1 0 / 3 1 / 1 3,,Ge ne ral  D y nam ic s,,"Springbo ro  
( W arre n)",,2 3,,1 / 2 / 2 0 1 4,,8 0 2 -6 6 2 -7 4 2 2,,L o c al  1 4 1,,0 1 2 -1 3 -0 2 9,,,
,1 0 / 2 8 / 1 3,,So de x o   ( Co lum bus),,"Co lum bus 
( Frank lin)",,1 1 1,,1 2 / 3 / 2 0 1 3,,6 1 4 -7 2 2 -1 1 2 3,,N/ A,,0 1 1 -1 3 -0 2 7,
,1 0 / 2 4 / 1 3,,M e dlab,,Vario us  ( Vario us),,unk no w n,,1 2 / 2 3 / 2 0 1 3,,5 1 3 -2 0 1 -0 6 0 5,,N/ A,,0 1 2 -1 3 -0 2 6,
