,,,,,,,,,,,,,,,,,,,,
,,,Date   Rec'd,,Company,,City  (County),,#  Affected,,Layoff  Date(s),,Phone  Number,,Union,,WARN  ID,,,
,,,,,,,,,,,,,,,,,,,,
,,,12/28/2015,,Fenner  Dunlop,,Port  Clinton/Ottawa,,85,,"12/23/2015‐
Mid   January",,(419)  635‐ 2191,,USW  Local   1117L,,007‐ 15‐ 034,,,
,,,12/22/2015,,Enersys,,Cleveland/Cuyahoga,,95,,"02/19/2016‐
05/31/2016",,(216)  889‐ 2343,,"United   Steelworkers 
Union   Local   1‐ 00243",,003‐ 15‐ 033,,,
,,,12/18/2015,,Exterran,,Youngstown/Mahoning,,68,,"01/14/2016‐
03/31/2016",,(281)  836‐ 7049,,None,,017‐ 15‐ 032,,,
,,,12/14/2015,,Concord   Steel,,Warren/Trumbull,,11,,12/31/2015,,(708)  225‐ 3522,,USW,,018‐ 15‐ 031,,,
,,,12/11/2015,,Titan   Tire,,Bryan/Williams,,130,,2/8/2016,,(419)   787‐ 5051,,USW,,007‐ 15‐ 030,,,
,,,12/1/2015,,"Volvo   Group   North 
America  LLC",,Lewis   Center/Delaware,,121,,"12/31/2015‐
03/31/2016",,(301)  660‐ 0704,,UAW  Local   2269,,007‐ 15‐ 029,,,
,,,11/20/2015,,Chester  Packaging  LLC,,Cincinnati/Hamilton,,79,,"01/31/2016‐
04/30/2016",,(513)  458‐ 3848,,None,,013‐ 15‐ 028,,,
,,,11/16/2015,,"Centrus  Energy  Corp
Hyundai   Ideal   Electric",,Piketon/Pike,,unknown,,"1/11/2016
01/11/2015‐",,(740)   897‐ 5843,,"None
United   Steelworkers",,001‐ 15‐ 027,,,
,,,11/16/2015,,Co,,Mansfield/Richland,,107,,4/1/2016,,(419)  522‐ 3611,,Union   Local   8530,,010‐ 15‐ 026,,,
,,,11/16/2015,,"Accel  Performance 
Group   LLC",,Cleveland/Cuyahoga,,64,,"12/20/2015‐
12/31/2015",,(216)  658‐ 6278,,Unknown,,003‐ 15‐ 025,,,
,,,11/3/2015,,"Parker 
Hannifin  
Corporation",,Youngstown/Mahoning,,132,,"01/15/2016‐
01/29/2016",,(330)  270‐ 6102,,"United   Steelworkers 
Local   2332",,017‐ 15‐ 024,,,
,,,10/30/2015,,"Manitowoc   (Cleveland  
Range)",,Cleveland/Cuyahoga,,219,,"12/26/2015‐
07/31/2016",,(717)  593‐ 5093,,UAW,,003‐ 15‐ 023,,,
,,,10/30/20015,,Thirty  One   Gifts   LLC,,"Johnstown/Licking
Springfield/Clark",,"242
80",,"1/16/2016
1/8/2016",,(740)   966‐ 3607,,None,,007‐ 15‐ 022,,,
,,,10/30/2015,,3M  Company,,Brookville/Montgomery,,75,,12/31/2015,,(317)  692‐ 6978,,None,,007‐ 15‐ 021,,,
,,,10/30/2015,,Exel  INC,,Springfield/Clark,,91,,1/8/2016,,(614)   865‐ 8540,,None,,007‐ 15‐ 020,,,
,10/16/2015,,WestRock,,Coshocton/Coshocton,,229,,12/15/2015,,(740)   552‐ 2290,,"IUOE,  Local   18‐ D,
Local   18‐ S",,007‐ 15‐ 018,
,10/8/2015,,Terra  Source   Global,,Cuyahoga   Falls/Summit,,53,,"12/11/2015‐
3/25/2016",,(618)  233‐ 7223,,None,,002‐ 15‐ 017,
,10/7/2015,,Demdaco,,Bowling   Green/Wood,,20,,12/31/2015,,(913)  402‐ 6800,,Unknown,,007‐ 15‐ 016,
,9/29/2015,,"MetalTek  International  
‐  Sandusky   Division",,Sandusky/Erie,,16,,9/29/2015,,(419)   609‐ 4030,,Unknown,,007‐ 15‐ 015,
,9/21/2015,,"KBI ‐  Kyklos  Bearing 
International   LLC",,Sandusky/Erie,,177,,11/30/2015,,(419)  627‐ 7183,,"United   Autoworkers 
Union   Local   913",,007‐15‐ 014,
,9/22/2015,,Centrus  Energy  Corp,,Piketon/Pike,,unknown,,11/10/2015,,(740)  897‐ 5843,,None,,001‐ 15‐ 013,
,9/8/2015,,"Stingray   Pressure 
Pumping   LLC",,Unknown/Monroe,,22,,10/31/2015,,(405)  608‐ 8195,,None,,015‐ 15‐ 012,
,9/1/2015,,"Maxim   Healthcare 
Services  INC",,St.   Clairsville/Belmont,,94,,"10/2015‐
11/2015",,(443)  860‐ 5561,,None,,016‐ 15‐ 011,
,8/31/2015,,Fluor   BWXT,,Piketon/Pike,,323‐ 500,,10/22/2015,,(740)  897‐ 2839,,"United   Steelworkers 
Local   689  &   Security, 
Police,  Fire   Professionals  
of   America  Local   66",,001‐ 15‐ 010,
,8/27/2015,,"Omnicare 
Inc.",,Cincinnati/Hamilton,,232,,10/30/2015,,(401)   770‐ 5830,,None,,013‐ 15‐ 009,
,8/18/2015,,"Coyne   International  
Enterprises   Corp.",,Cleveland/Cuyahoga,,unknown,,10/31/2015,,(315)   475‐ 1626,,"TEAMSTERS   LOCAL  
UNION  293,  TEXTILE  
PROCESSORS   LOCAL   1, 
TEAMSTERS
LOCAL   UNION  2",,003‐ 15‐ 008,
,8/3/2015,,"Pinnacle   Workforce 
Logistics",,Delaware/Delaware,,56,,8/15/2015,,(484)  554‐ 2069,,None,,007‐ 15‐ 006,
,7/27/2015,,Aramark,,Cincinnati/Hamilton,,432,,9/30/2015,,(513)   803‐ 1628,,None,,013‐ 15‐ 005,
,7/22/2015,,HDT,,Solon/Cuyahoga,,69,,9/30/2015,,(216)  438‐ 6715,,Teamsters  Local   No.   293,,003‐ 15‐ 004,
,7/9/2015,,"Litigation   Management 
Inc",,"Mayfield  
Heights/Cuyahoga",,41,,7/7/2015,,(440)  684‐ 8771,,None,,003‐ 15‐ 003,
,7/7/2015,,NOV,,Springfield/Clark,,149,,"09/18/2015‐
12/18/2015
04/04/2015‐",,(937)  327‐ 3125,,UAW,,007‐ 15‐ 002,
